"","Code","Name","Municipality","Ownership","Applications","Vacancies"
"1","08000013","Escola Francesc Platón i Sartí","Abrera","Public",39,50
"1235","08059822","Escola Ernest Lluch","Abrera","Public",60,50
"1360","08067132","Escola Josefina Ibáñez","Abrera","Public",24,25
"1658","25000067","Escola Macià-Companys","Agramunt","Public",31,50
"1659","25000080","Mare de Déu del Socós","Agramunt","Charter",12,25
"13","08000359","Escola La Muntanya","Aiguafreda","Public",28,50
"1783","43000020","Escola Sant Miquel","Aiguamúrcia","Public",1,25
"1940","43006174","Escola Les Moreres","Aiguamúrcia","Public",4,8
"1420","17000032","Escola Vilademany","Aiguaviva","Public",11,12
"1670","25000730","Escola Francesc Feliu","Aitona","Public",23,23
"1612","17006940","Escola de Lliurona","Albanyà","Public",2,2
"1660","25000158","Escola Sant Salvador","Albatàrrec","Public",14,25
"1661","25000161","Escola L'Àlber","Albesa","Public",18,25
"1916","43005297","Escola Joan Perucho","Albinyana","Public",11,25
"1784","43000081","Escola Joan Baptista Serra","Alcanar","Public",79,75
"1662","25000195","Escola Comtes de Torregrossa","Alcarràs","Public",58,48
"1773","25008893","Escola Parc del Saladar","Alcarràs","Public",57,72
"1663","25000225","Escola Mare de Déu del Carme","Alcoletge","Public",45,50
"1785","43000135","Escola Mare de Déu del Remei","Alcover","Public",47,50
"2","08000049","Escola Fabra","Alella","Public",45,50
"1244","08061063","Escola La Serreta","Alella","Public",16,25
"1750","25005119","Escola Pinyana","Alfarràs","Public",24,23
"1786","43000214","Escola Josep Fusté","Alforja","Public",15,25
"1751","25005120","Escola Teresa Bergadà","Alguaire","Public",26,50
"1664","25000341","Escola Antònia Simó Arnó","Almacelles","Public",43,50
"1767","25007992","Escola d'Almenar","Almenar","Public",35,50
"1917","43005327","Escola Ramon Sugrañes","Almoster","Public",12,25
"1422","17000071","Escola Bac de Cerdanya","Alp","Public",17,14
"1665","25000468","Escola Doctor Serés","Alpicat","Public",38,50
"1787","43000251","Escola La Portalada","Altafulla","Public",44,50
"1978","43010402","Escola El Roquissar","Altafulla","Public",27,25
"1423","17000093","Escola Gaspar de Queralt","Amer","Public",22,25
"1789","43000275","Escola Miquel Granell","Amposta","Public",54,50
"1790","43000299","Sagrat Cor","Amposta","Charter",31,50
"1915","43005224","Escola Mestre Agustí Barberà","Amposta","Public",36,50
"1941","43006186","Escola Soriano Montagut","Amposta","Public",29,50
"1985","43010773","Escola Consol Ferré","Amposta","Public",53,50
"1425","17000135","Escola Pompeu Fabra","Anglès","Public",45,50
"1426","17000147","FEDAC - Anglès","Anglès","Charter",15,20
"1666","25000584","Escola Santa Creu","Anglesola","Public",17,22
"1667","25000602","Escola Albirka","Arbeca","Public",12,25
"1427","17000160","Escola Doctor Carulla","Arbúcies","Public",46,50
"1428","17000184","Vedruna","Arbúcies","Charter",18,22
"4","08000131","La Presentació","Arenys de Mar","Charter",43,50
"5","08000153","Escola Joan Maragall","Arenys de Mar","Public",49,50
"1222","08058519","Escola Sinera","Arenys de Mar","Public",43,50
"6","08000165","Escola Sant Martí","Arenys de Munt","Public",37,50
"1205","08055890","Escola Sobirans","Arenys de Munt","Public",33,25
"7","08000189","Escola Bernat de Riudemeia","Argentona","Public",29,25
"1036","08039598","Escola Sant Miquel del Cros","Argentona","Public",6,22
"1239","08060319","Escola Les Fonts","Argentona","Public",24,25
"1397","08073958","Escola Nova Argentona","Argentona","Public",42,50
"8","08000220","Vedruna","Artés","Charter",14,25
"9","08000244","Escola Doctor Ferrer","Artés","Public",42,50
"1668","25000626","Escola Els Til.lers","Artesa de Lleida","Public",8,25
"1669","25000638","Escola Els Planells","Artesa de Segre","Public",30,50
"1793","43000433","Escola Sant Miquel","Ascó","Public",15,25
"10","08000271","Escola Santa Maria d'Avià","Avià","Public",25,25
"11","08000323","Escola Barnola","Avinyó","Public",24,25
"1430","17000251","Escola Gonçal Comellas","Avinyonet de Puigventós","Public",10,12
"12","08000347","Escola d'Avinyonet del Penedès","Avinyonet del Penedès","Public",9,11
"14","08000372","Escola Sant Jordi","Badalona","Public",14,25
"15","08000384","Escola Lola Anglada","Badalona","Public",61,50
"16","08000396","Escola Ventós i Mir","Badalona","Public",8,50
"17","08000402","Escola Feliu i Vegués","Badalona","Public",35,50
"18","08000414","Escola Alexandre Galí","Badalona","Public",22,25
"19","08000499","Sant Domènec Savio","Badalona","Charter",60,75
"20","08000517","Sant Andreu","Badalona","Charter",55,75
"21","08000578","Nen Jesús de Praga","Badalona","Charter",18,22
"22","08000608","Montserrat","Badalona","Charter",22,25
"23","08000670","Mare de Déu de la Salut","Badalona","Charter",19,25
"24","08000700","Maristes Champagnat","Badalona","Charter",39,75
"25","08000761","Badalonès","Badalona","Charter",68,75
"26","08000827","Jesús Maria","Badalona","Charter",52,50
"27","08000864","Cultural","Badalona","Charter",37,50
"28","08000918","Cultural","Badalona","Charter",44,47
"29","08000921","Arrels-Esperança","Badalona","Charter",99,100
"30","08000943","Garbí Pere Vergés","Badalona","Charter",55,50
"31","08000967","Betúlia","Badalona","Charter",13,25
"32","08000979","López Torrejón","Badalona","Charter",11,24
"33","08000980","Ramiro de Maeztu","Badalona","Charter",17,25
"34","08001029","Boix","Badalona","Charter",20,25
"35","08001030","Cultural Fluvià","Badalona","Charter",22,25
"36","08001066","Maria Ward","Badalona","Charter",48,50
"37","08001108","Mare de Déu de l'Assumpció","Badalona","Charter",79,75
"38","08001133","Arrels-Blanquerna","Badalona","Charter",22,25
"39","08001145","Lestonnac","Badalona","Charter",33,44
"40","08001157","Minguella","Badalona","Charter",34,50
"41","08001170","Santíssima Trinitat","Badalona","Charter",28,25
"42","08001297","Laietània","Badalona","Charter",24,25
"43","08001391","Escola Planas i Casals","Badalona","Public",36,50
"44","08001509","Escola Antoni Botey","Badalona","Public",53,44
"895","08033857","Escola Baldomer Solà","Badalona","Public",25,22
"929","08034953","Escola Llibertat","Badalona","Public",23,25
"930","08034965","Escola Margarida Xirgu","Badalona","Public",31,50
"938","08035398","Escola Miguel Hernández","Badalona","Public",12,22
"939","08035404","Escola Joan Miró","Badalona","Public",23,22
"940","08035416","Escola Josep Boada","Badalona","Public",27,44
"952","08035854","Escola Llorens i Artigas","Badalona","Public",34,50
"953","08035878","Escola Pere de Tera","Badalona","Public",27,25
"964","08036135","Escola Joan Coret","Badalona","Public",51,50
"965","08036147","Escola Pau Picasso","Badalona","Public",30,50
"967","08036342","Escola Joan Llongueras","Badalona","Public",24,24
"984","08037875","Escola Rafael Casanova","Badalona","Public",57,50
"985","08037887","Escola Baldiri Reixac","Badalona","Public",28,22
"986","08037899","Escola Folch i Torres","Badalona","Public",24,25
"1025","08039422","Escola Rafael Alberti","Badalona","Public",12,22
"1057","08040345","Escola Mercè Rodoreda","Badalona","Public",34,25
"1063","08041167","Escola Josep Carner","Badalona","Public",52,50
"1071","08041568","Escola Jungfrau","Badalona","Public",59,50
"1072","08041571","Escola Artur Martorell","Badalona","Public",41,50
"1073","08041581","Escola Gitanjali","Badalona","Public",21,25
"1143","08044296","Escola Salvador Espriu","Badalona","Public",40,50
"1149","08044508","Escola Ítaca","Badalona","Public",21,22
"1226","08059639","Escola Progrés","Badalona","Public",65,50
"1271","08061348","Escola Bufalà","Badalona","Public",41,50
"1374","08068331","Escola Badalona Port","Badalona","Public",23,25
"1375","08068343","Escola Les Ciències","Badalona","Public",8,25
"1379","08069748","Escola Montigalà","Badalona","Public",26,25
"761","08028916","Escola Las Seguidillas","Badia del Vallès","Public",33,44
"762","08028928","Escola La Jota","Badia del Vallès","Public",43,46
"763","08028941","Escola La Sardana","Badia del Vallès","Public",31,25
"45","08001522","Escola Galceran de Pinós","Bagà","Public",9,20
"1671","25000778","Escola Gaspar de Portolà","Balaguer","Public",46,50
"1672","25000781","Escola Àngel Guimerà","Balaguer","Public",18,22
"1673","25000811","Escola Pia de Balaguer","Balaguer","Charter",25,25
"1674","25000821","Vedruna Balaguer","Balaguer","Charter",67,50
"1675","25000857","Escola La Noguera","Balaguer","Public",23,23
"1771","25008789","Escola Mont-roig","Balaguer","Public",24,25
"46","08001534","Escola Joan XXIII","Balenyà","Public",27,50
"47","08001583","Escola Guillem de Balsareny","Balsareny","Public",17,25
"1909","43005133","Escola Mare de Déu del Priorat","Banyeres del Penedès","Public",27,50
"1432","17000329","Escola Pla de l'Ametller","Banyoles","Public",38,46
"1433","17000342","Escola Baldiri Reixac","Banyoles","Public",31,46
"1602","17005182","Escola Can Puig","Banyoles","Public",47,46
"1613","17006952","Escola La Draga","Banyoles","Public",61,46
"1649","17009345","Escola Camins","Banyoles","Public",51,46
"733","08028229","Escola Elisa Badia","Barberà del Vallès","Public",52,50
"734","08028254","Escola Can Llobet","Barberà del Vallès","Public",50,50
"894","08033602","Escola Can Serra","Barberà del Vallès","Public",45,50
"1041","08039641","Escola Pablo Picasso","Barberà del Vallès","Public",32,50
"1066","08041210","Escola del Bosc","Barberà del Vallès","Public",33,50
"1265","08061142","Escola Miquel Martí i Pol","Barberà del Vallès","Public",65,50
"1367","08067582","Escola Marta Mata","Barberà del Vallès","Public",27,25
"48","08001595","Escola Baixeras","Barcelona","Public",21,22
"49","08001601","Escola Parc de la Ciutadella","Barcelona","Public",30,22
"50","08001649","Escola Mossèn Jacint Verdaguer","Barcelona","Public",36,44
"51","08001650","Escola El Polvorí","Barcelona","Public",5,22
"52","08001674","Escola Can Clos","Barcelona","Public",7,22
"53","08001716","Escola Dolors Monserdà-Santapau","Barcelona","Public",53,50
"54","08001731","Escola Poeta Foix","Barcelona","Public",18,50
"55","08001777","Escola Ramon Llull","Barcelona","Public",31,50
"56","08001789","Escola Cervantes","Barcelona","Public",38,22
"57","08001790","Escola Pere Vila","Barcelona","Public",31,50
"58","08001807","Escola de la Concepció","Barcelona","Public",23,26
"59","08001819","Escola Collaso i Gil","Barcelona","Public",43,44
"60","08001820","Escola Milà i Fontanals","Barcelona","Public",40,44
"61","08001832","Escola Castella","Barcelona","Public",23,22
"62","08001856","Escola Drassanes","Barcelona","Public",32,44
"63","08001868","Escola Rubén Darío","Barcelona","Public",32,22
"64","08001911","Escola Els Llorers","Barcelona","Public",49,50
"65","08001923","Escola Diputació","Barcelona","Public",60,50
"66","08001947","Escola Mallorca","Barcelona","Public",44,50
"67","08002009","Escola Francesc Macià","Barcelona","Public",13,22
"68","08002010","Escola Lluís Vives","Barcelona","Public",23,25
"69","08002022","Escola Cal Maiol","Barcelona","Public",32,25
"70","08002034","Escola Miquel Bleach","Barcelona","Public",13,22
"71","08002058","Escola Pràctiques","Barcelona","Public",59,50
"72","08002061","Escola Jaume I","Barcelona","Public",73,75
"73","08002071","Escola Gayarre","Barcelona","Public",13,25
"74","08002113","Escola Rius i Taulet","Barcelona","Public",32,50
"75","08002174","Escola Baldiri Reixac","Barcelona","Public",29,25
"76","08002186","Escola Mare de Déu de Montserrat","Barcelona","Public",18,25
"77","08002198","Escola La Farigola de Vallcarca","Barcelona","Public",31,25
"78","08002204","Escola Montseny","Barcelona","Public",37,25
"79","08002216","Escola Josep Maria de Sagarra","Barcelona","Public",20,25
"80","08002277","Escola Calderón de la Barca","Barcelona","Public",48,50
"81","08002290","Escola Emili Juncadella","Barcelona","Public",16,25
"82","08002320","Escola Ciutat Comtal","Barcelona","Public",12,22
"83","08002344","Escola El Turó","Barcelona","Public",23,22
